model date.run aoa L D Mp Cl Cd Cm Re svl A rho v
Unspread 20090518B -4.000000e+00 1.572368e-01 4.091617e-02 3.081157e-03 3.236404e-01 8.421770e-02 4.349755e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B -3.000000e+00 1.859747e-01 4.493655e-02 3.222698e-03 3.827914e-01 9.249285e-02 4.549571e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B -2.000000e+00 2.002756e-01 5.083306e-02 3.227339e-03 4.122271e-01 1.046296e-01 4.556124e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B -1.000000e+00 2.181231e-01 5.408049e-02 3.232905e-03 4.489625e-01 1.113138e-01 4.563981e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 0.000000e+00 2.281659e-01 6.153691e-02 3.208586e-03 4.696335e-01 1.266614e-01 4.529650e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 1.000000e+00 2.283317e-01 6.563616e-02 3.033036e-03 4.699749e-01 1.350988e-01 4.281821e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 2.000000e+00 2.286358e-01 7.140098e-02 2.970873e-03 4.706008e-01 1.469646e-01 4.194064e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 3.000000e+00 2.291347e-01 7.571633e-02 2.844684e-03 4.716276e-01 1.558468e-01 4.015919e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 4.000000e+00 2.298775e-01 7.793219e-02 2.674363e-03 4.731567e-01 1.604077e-01 3.775472e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 5.000000e+00 2.303165e-01 8.086596e-02 2.514016e-03 4.740602e-01 1.664463e-01 3.549106e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 6.000000e+00 2.359423e-01 8.670033e-02 2.395367e-03 4.856397e-01 1.784552e-01 3.381606e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 7.000000e+00 2.387851e-01 8.923378e-02 2.345203e-03 4.914910e-01 1.836698e-01 3.310788e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 8.000000e+00 2.373926e-01 9.509880e-02 2.212531e-03 4.886250e-01 1.957418e-01 3.123491e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 9.000000e+00 2.427570e-01 9.814110e-02 2.141044e-03 4.996665e-01 2.020037e-01 3.022572e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 1.000000e+01 2.454597e-01 1.041566e-01 2.075547e-03 5.052293e-01 2.143853e-01 2.930107e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 1.100000e+01 2.502885e-01 1.089378e-01 2.042797e-03 5.151687e-01 2.242265e-01 2.883873e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 1.200000e+01 2.564038e-01 1.140339e-01 2.016098e-03 5.277556e-01 2.347158e-01 2.846181e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 1.300000e+01 2.625959e-01 1.212314e-01 1.978316e-03 5.405009e-01 2.495305e-01 2.792843e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 1.400000e+01 2.700765e-01 1.261014e-01 1.920808e-03 5.558981e-01 2.595543e-01 2.711657e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 1.500000e+01 2.760633e-01 1.320283e-01 1.874812e-03 5.682207e-01 2.717537e-01 2.646724e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 1.600000e+01 2.830142e-01 1.379687e-01 1.778273e-03 5.825279e-01 2.839808e-01 2.510437e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 1.700000e+01 2.894481e-01 1.446919e-01 1.794116e-03 5.957708e-01 2.978192e-01 2.532803e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 1.800000e+01 2.947853e-01 1.514428e-01 1.710538e-03 6.067562e-01 3.117146e-01 2.414813e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 1.900000e+01 2.983571e-01 1.570058e-01 1.704938e-03 6.141081e-01 3.231649e-01 2.406908e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 2.000000e+01 3.021245e-01 1.625836e-01 1.653445e-03 6.218626e-01 3.346457e-01 2.334214e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 2.500000e+01 3.238143e-01 1.986857e-01 1.412375e-03 6.665067e-01 4.089545e-01 1.993889e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 3.000000e+01 3.477328e-01 2.386685e-01 1.063750e-03 7.157381e-01 4.912512e-01 1.501726e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 3.500000e+01 3.631939e-01 2.825366e-01 6.457507e-04 7.475616e-01 5.815448e-01 9.116241e-03 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 4.000000e+01 3.720684e-01 3.267270e-01 1.340065e-04 7.658280e-01 6.725019e-01 1.891807e-03 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 4.500000e+01 3.741963e-01 3.741963e-01 -5.544969e-04 7.702079e-01 7.702079e-01 -7.827986e-03 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 5.000000e+01 3.658252e-01 4.196664e-01 -1.258816e-03 7.529775e-01 8.637990e-01 -1.777105e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 5.500000e+01 3.438173e-01 4.576889e-01 -1.536351e-03 7.076788e-01 9.420606e-01 -2.168910e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 6.000000e+01 3.173291e-01 4.950480e-01 -2.824023e-03 6.531582e-01 1.018957e+00 -3.986751e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 6.500000e+01 2.842303e-01 5.279836e-01 -3.633551e-03 5.850310e-01 1.086748e+00 -5.129585e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 7.000000e+01 2.417585e-01 5.468342e-01 -4.331034e-03 4.976113e-01 1.125548e+00 -6.114240e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 7.500000e+01 1.952438e-01 5.606405e-01 -4.949086e-03 4.018701e-01 1.153966e+00 -6.986761e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 8.000000e+01 1.446793e-01 5.655856e-01 -5.429574e-03 2.977933e-01 1.164144e+00 -7.665080e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 8.500000e+01 9.246249e-02 5.646473e-01 -5.901138e-03 1.903154e-01 1.162213e+00 -8.330799e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 9.000000e+01 3.984583e-02 5.534587e-01 -6.477939e-03 8.201463e-02 1.139184e+00 -9.145086e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 1.050000e+02 -1.111196e-01 5.089864e-01 -7.794413e-03 -2.287173e-01 1.047646e+00 -1.100359e-01 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B 1.200000e+02 -2.336188e-01 4.252875e-01 -9.983003e-03 -4.808573e-01 8.753688e-01 -1.409328e-01 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520A -1.500000e+01 -4.286008e-02 -1.670454e-01 -2.579956e-05 -8.821886e-02 -3.438294e-01 -3.642195e-04 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520A -1.000000e+01 1.188012e-03 3.416810e-02 1.963664e-03 2.445284e-03 7.032816e-02 2.772158e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520A -5.000000e+00 1.419905e-01 3.975343e-02 3.078458e-03 2.922588e-01 8.182444e-02 4.345944e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520A 0.000000e+00 2.249697e-01 6.349027e-02 3.227949e-03 4.630548e-01 1.306819e-01 4.556986e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520A 5.000000e+00 2.327100e-01 8.531727e-02 2.615126e-03 4.789867e-01 1.756084e-01 3.691846e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520A 1.000000e+01 2.487592e-01 1.076066e-01 2.172292e-03 5.120208e-01 2.214865e-01 3.066685e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520A 1.500000e+01 2.800696e-01 1.359846e-01 1.940047e-03 5.764669e-01 2.798970e-01 2.738819e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520A 2.000000e+01 3.055146e-01 1.672799e-01 1.714445e-03 6.288405e-01 3.443120e-01 2.420329e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520A 2.500000e+01 3.308156e-01 2.033641e-01 1.485501e-03 6.809173e-01 4.185840e-01 2.097122e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520A 3.000000e+01 3.524639e-01 2.432662e-01 1.132173e-03 7.254761e-01 5.007145e-01 1.598321e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520B -1.500000e+01 -1.326908e-01 4.833009e-02 6.206636e-04 -2.731173e-01 9.947778e-02 8.762079e-03 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520B -1.000000e+01 3.029910e-04 3.149310e-02 1.960535e-03 6.236460e-04 6.482221e-02 2.767742e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520B -5.000000e+00 1.409281e-01 3.547651e-02 3.052981e-03 2.900722e-01 7.302126e-02 4.309978e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520B 0.000000e+00 2.236113e-01 6.269916e-02 3.247975e-03 4.602589e-01 1.290536e-01 4.585256e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520B 5.000000e+00 2.304475e-01 8.261980e-02 2.578470e-03 4.743298e-01 1.700562e-01 3.640097e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520B 1.000000e+01 2.463238e-01 1.055033e-01 2.202561e-03 5.070080e-01 2.171573e-01 3.109416e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520B 1.500000e+01 2.806197e-01 1.350486e-01 1.922679e-03 5.775992e-01 2.779703e-01 2.714300e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520B 2.000000e+01 3.044761e-01 1.664167e-01 1.715910e-03 6.267028e-01 3.425354e-01 2.422398e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520B 2.500000e+01 3.305163e-01 2.033538e-01 1.466134e-03 6.803014e-01 4.185629e-01 2.069782e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520B 3.000000e+01 3.503413e-01 2.428472e-01 1.177041e-03 7.211072e-01 4.998521e-01 1.661661e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520C -1.500000e+01 -1.212121e-01 4.701522e-02 7.877715e-04 -2.494907e-01 9.677137e-02 1.112119e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520C -1.000000e+01 5.374211e-03 3.224733e-02 2.013963e-03 1.106173e-02 6.637465e-02 2.843167e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520C -5.000000e+00 1.437574e-01 3.869748e-02 3.071923e-03 2.958957e-01 7.965098e-02 4.336719e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520C 0.000000e+00 2.220480e-01 6.254024e-02 3.249494e-03 4.570412e-01 1.287265e-01 4.587401e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520C 5.000000e+00 2.306201e-01 8.453738e-02 2.626831e-03 4.746851e-01 1.740032e-01 3.708370e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520C 1.000000e+01 2.500684e-01 1.063332e-01 2.149571e-03 5.147156e-01 2.188656e-01 3.034609e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520C 1.500000e+01 2.783417e-01 1.335722e-01 1.930303e-03 5.729103e-01 2.749316e-01 2.725062e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520C 2.000000e+01 3.055889e-01 1.678674e-01 1.716013e-03 6.289933e-01 3.455212e-01 2.422542e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520C 2.500000e+01 3.295567e-01 2.030001e-01 1.453680e-03 6.783261e-01 4.178349e-01 2.052200e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520C 3.000000e+01 3.533478e-01 2.442884e-01 1.137548e-03 7.272954e-01 5.028186e-01 1.605908e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520D -1.500000e+01 -1.337491e-01 4.526559e-02 6.285008e-04 -2.752956e-01 9.317012e-02 8.872719e-03 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520D -1.000000e+01 -1.467139e-03 3.421861e-02 1.961563e-03 -3.019811e-03 7.043214e-02 2.769193e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520D -5.000000e+00 1.329942e-01 3.769884e-02 3.008697e-03 2.737418e-01 7.759548e-02 4.247460e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520D 0.000000e+00 2.227675e-01 6.340038e-02 3.239625e-03 4.585220e-01 1.304969e-01 4.573468e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520D 5.000000e+00 2.306997e-01 8.270568e-02 2.638193e-03 4.748490e-01 1.702330e-01 3.724409e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520D 1.000000e+01 2.474149e-01 1.057182e-01 2.164818e-03 5.092538e-01 2.175996e-01 3.056134e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520D 1.500000e+01 2.804592e-01 1.354275e-01 1.947261e-03 5.772689e-01 2.787503e-01 2.749002e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520D 2.000000e+01 3.051219e-01 1.673463e-01 1.706135e-03 6.280320e-01 3.444486e-01 2.408598e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520D 2.500000e+01 3.285272e-01 2.015644e-01 1.444553e-03 6.762072e-01 4.148798e-01 2.039316e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090520D 3.000000e+01 3.525855e-01 2.429350e-01 1.127474e-03 7.257263e-01 5.000328e-01 1.591686e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Spread 20090520E 0.000000e+00 -1.193155e-04 0.000000e+00 -3.279757e-06 -Inf NaN -Inf -0.000000e+00 1.458000e-01 1.261000e-02 1.204000e+00 -0.000000e+00
Spread 20090520E 0.000000e+00 3.632993e-03 0.000000e+00 3.441641e-05 1.935404e+01 0.000000e+00 1.257521e+00 1.528470e+03 1.458000e-01 1.261000e-02 1.204000e+00 1.572500e-01
Spread 20090520E 0.000000e+00 5.169390e-03 0.000000e+00 8.240793e-05 1.678220e+00 0.000000e+00 1.834937e-01 6.191640e+03 1.458000e-01 1.261000e-02 1.204000e+00 6.370000e-01
Spread 20090520E 0.000000e+00 5.455735e-03 0.000000e+00 1.274616e-04 7.713687e-01 0.000000e+00 1.236034e-01 9.382230e+03 1.458000e-01 1.261000e-02 1.204000e+00 9.652500e-01
Spread 20090520E 0.000000e+00 1.035710e-02 0.000000e+00 2.995865e-04 3.781361e-01 0.000000e+00 7.501958e-02 1.846314e+04 1.458000e-01 1.261000e-02 1.204000e+00 1.899500e+00
Spread 20090520E 0.000000e+00 1.363317e-02 0.000000e+00 4.856543e-04 2.804057e-01 0.000000e+00 6.851089e-02 2.459889e+04 1.458000e-01 1.261000e-02 1.204000e+00 2.530750e+00
Spread 20090520E 0.000000e+00 2.081942e-02 0.000000e+00 7.417260e-04 2.743047e-01 0.000000e+00 6.702714e-02 3.073464e+04 1.458000e-01 1.261000e-02 1.204000e+00 3.162000e+00
Spread 20090520E 0.000000e+00 4.843696e-02 0.000000e+00 1.463097e-03 3.259394e-01 0.000000e+00 6.752673e-02 4.300614e+04 1.458000e-01 1.261000e-02 1.204000e+00 4.424500e+00
Spread 20090520E 0.000000e+00 8.655628e-02 0.000000e+00 2.385203e-03 3.525499e-01 0.000000e+00 6.663308e-02 5.527764e+04 1.458000e-01 1.261000e-02 1.204000e+00 5.687000e+00
Spread 20090520E 0.000000e+00 1.387631e-01 0.000000e+00 3.540208e-03 3.784907e-01 0.000000e+00 6.622966e-02 6.754914e+04 1.458000e-01 1.261000e-02 1.204000e+00 6.949500e+00
Spread 20090520E 0.000000e+00 2.046099e-01 0.000000e+00 4.963349e-03 3.996844e-01 0.000000e+00 6.649788e-02 7.982064e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.212000e+00
Spread 20090520E 0.000000e+00 2.820386e-01 0.000000e+00 6.627219e-03 4.138895e-01 0.000000e+00 6.670365e-02 9.209214e+04 1.458000e-01 1.261000e-02 1.204000e+00 9.474500e+00
Spread 20090520E 0.000000e+00 3.666589e-01 0.000000e+00 8.470115e-03 4.189717e-01 0.000000e+00 6.638260e-02 1.043636e+05 1.458000e-01 1.261000e-02 1.204000e+00 1.073700e+01
